Obs,ID Study,No_Eq,Study,DepVar,GDP,GDPpc,rGDP,rGDPpc,PerCap,RealGDP,Other,Growth,Log_trans,COEF_L,SE_L,COEF_S,SE_S,N,T,Sample,Rem,Rempc,RemofGDP,Growth_Rem,Log_Rem,AID,FDI,OPEN,FD,INS,OLS,FMOLS,IV,Panel,FE,RE,GMM,TS,ARDL,ECM,Cross,Start,End,Length,Variables,DF,Endogen,Year,Homogen,Single,EUR,EAP,SA,LAC,MENA,SSA,ROW,MI,LI,LMI,UMI,IT,Lags,Pub,RY,Citat,IF,Comment,TSTAT_L,TSTAT_S
73,11,12,Imad E. (2017),4,0,0,0,1,1,1,0,1,1,0.91765538,0.7033591922225798,,,11,30,252,0,0,1,0.0,1.0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1984,2014,1.0,11,241,1,2017,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2017,0,0.027,IT: ICRG,1.3046753211545512,
74,12,2,"Simionescu L., Dumitrescu D. (2017)",2,0,1,0,0,1,0,0,1,0,0.42,0.1,,,74,26,115,0,0,1,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1989,2015,1.0,4,111,0,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,1,0.001,,4.199999999999999,
75,12,2,"Simionescu L., Dumitrescu D. (2017)",2,0,1,0,0,1,0,0,1,0,-0.09,0.542,,,74,26,96,0,0,1,0.0,0.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1989,2015,1.0,4,92,1,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2017,1,0.001,,-0.16605166051660514,
76,13,2,"Jawaid S.T., Saleem S.M. (2017)",3,0,0,1,0,0,1,0,0,0,0.095,0.015170871925902269,,,1,40,40,1,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1976,2015,1.0,3,37,0,2017,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2017,6,0.0,,6.262,
77,13,2,"Jawaid S.T., Saleem S.M. (2017)",3,0,0,1,0,0,1,0,0,0,0.1,0.005931901767706727,,,1,40,40,1,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1976,2015,1.0,3,37,1,2017,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2017,6,0.0,,16.858,
78,14,1,"Azam M., Khan A.Q., Bakhtyar B. (2017)",4,0,0,0,1,1,1,0,0,1,0.192351,0.034596530292715526,,,1,20,20,1,0,0,0.0,1.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1995,2015,1.0,7,13,0,2017,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2017,0,0.0,,5.559834999999999,
79,15,2,"Salim Abduallah Bahattab A., Azam M., Gavrilă L., Emirullah C. (2016)",4,0,0,0,1,1,1,0,0,0,-1.745,0.512632197414806,,,1,11,11,1,0,0,0.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2003,2014,1.0,5,6,0,2016,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,2016,1,0.007,,-3.404000000000001,
80,15,2,"Salim Abduallah Bahattab A., Azam M., Gavrilă L., Emirullah C. (2016)",4,0,0,0,1,1,1,0,0,0,-1.555,0.498557229881372,,,1,11,11,1,0,0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2003,2014,1.0,5,6,0,2016,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,2016,1,0.007,,-3.119000000000001,
81,16,4,"Nwosa P.I., Akinbobola T.O. (2016)",3,0,0,1,0,0,1,0,0,1,-0.222,0.04933333333333333,,,1,43,43,1,0,0,0.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1970,2013,1.0,9,34,1,2016,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2016,4,0.024,,-4.5,
82,16,4,"Nwosa P.I., Akinbobola T.O. (2016)",3,0,0,1,0,0,1,0,0,1,,,-0.12300000000000001,0.04960683233427546,1,43,43,1,0,0,0.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1970,2013,1.0,9,34,1,2016,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,2016,4,0.024,,,-2.4794971622288835
83,16,4,"Nwosa P.I., Akinbobola T.O. (2016)",3,0,0,1,0,0,1,0,0,1,-0.252,0.06146341463414635,,,1,43,43,1,0,0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1970,2013,1.0,6,37,1,2016,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2016,4,0.024,,-4.1,
84,16,4,"Nwosa P.I., Akinbobola T.O. (2016)",3,0,0,1,0,0,1,0,0,1,,,-0.08299999999999999,1.4051131519126907,1,43,43,1,0,0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1970,2013,1.0,6,37,1,2016,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,2016,4,0.024,,,-0.059069975885584304
85,17,2,"Klobodu E.K.M., Adams S. (2016)",2,0,1,0,0,1,0,0,0,1,1.2663,0.7656,,,1,44,44,0,0,1,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1970,2014,1.0,3,41,1,2016,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2015,10,0.035,,1.6539968652037618,
86,17,2,"Klobodu E.K.M., Adams S. (2016)",2,0,1,0,0,1,0,0,0,1,,,-1.0478,0.3461,1,44,44,0,0,1,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1970,2014,1.0,5,39,1,2016,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2015,10,0.035,,,-3.027448714244438
87,18,6,"Adams S., Klobodu E.K.M. (2016)",4,0,0,0,1,1,1,0,0,1,-0.0007,0.0012,,,33,9,306,0,0,1,0.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1970,2012,5.0,7,299,1,2016,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2015,18,0.016,,-0.5833333333333334,
88,18,6,"Adams S., Klobodu E.K.M. (2016)",4,0,0,0,1,1,1,0,0,1,-0.0004,0.0013,,,33,9,306,0,0,1,0.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1970,2012,5.0,8,298,1,2016,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2015,18,0.016,,-0.3076923076923077,
89,18,6,"Adams S., Klobodu E.K.M. (2016)",4,0,0,0,1,1,1,0,0,1,-0.0001,0.0011,,,33,9,306,0,0,1,0.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1970,2012,5.0,8,298,1,2016,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2015,18,0.016,,-0.09090909090909091,
90,18,6,"Adams S., Klobodu E.K.M. (2016)",4,0,0,0,1,1,1,0,0,1,-0.016110619838114588,0.010669501773393025,,,33,9,306,0,0,1,0.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1970,2012,5.0,9,297,1,2016,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,18,0.016,IT: Durability,-1.509969273194209,
91,18,6,"Adams S., Klobodu E.K.M. (2016)",4,0,0,0,1,1,1,0,0,1,-0.018609139058475048,0.005534186094456994,,,33,9,306,0,0,1,0.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1970,2012,5.0,9,297,1,2016,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,18,0.016,IT: Polit regime,-3.362579201504236,
92,18,6,"Adams S., Klobodu E.K.M. (2016)",4,0,0,0,1,1,1,0,0,1,-0.125877431046078,0.012964259411581,,,33,9,306,0,0,1,0.0,1.0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1970,2012,5.0,11,295,1,2016,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2015,18,0.016,2 IT: Durability and Polit regime,-9.709573609243842,
93,19,5,"Jawaid S.T., Raza S.A. (2016)",3,0,0,1,0,0,1,0,0,1,-0.043,0.013496547394852478,,,1,29,29,1,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1980,2009,1.0,3,26,1,2016,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2014,13,0.036,Pakistan,-3.186,
94,19,5,"Jawaid S.T., Raza S.A. (2016)",3,0,0,1,0,0,1,0,0,1,0.033,0.013784461152882205,,,1,29,29,1,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1980,2009,1.0,3,26,1,2016,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2014,13,0.036,India,2.394,
95,19,5,"Jawaid S.T., Raza S.A. (2016)",3,0,0,1,0,0,1,0,0,1,0.056,0.028225806451612902,,,1,29,29,1,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1980,2009,1.0,3,26,1,2016,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2014,13,0.036,Bangladesh,1.984,
96,19,5,"Jawaid S.T., Raza S.A. (2016)",3,0,0,1,0,0,1,0,0,1,0.408,0.08187838651414811,,,1,24,24,1,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1985,2009,1.0,3,21,1,2016,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2014,13,0.036,Sri Lanka,4.983,
97,19,5,"Jawaid S.T., Raza S.A. (2016)",3,0,0,1,0,0,1,0,0,1,0.049,0.02809633027522936,,,1,34,34,1,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1975,2009,1.0,3,31,1,2016,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2014,13,0.036,Nepal,1.744,
98,20,12,Shukralla E.K. (2016),4,0,0,0,1,1,1,0,1,1,0.09482000000000002,0.5135590252346852,,,55,5,264,0,0,1,0.0,0.0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1991,2011,4.0,12,252,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,1,0.027,IT: ICRG,0.18463311000457902,
99,20,12,Shukralla E.K. (2016),4,0,0,0,1,1,1,0,1,1,0.13113999999999998,0.3042968708350449,,,55,5,264,0,0,1,0.0,0.0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1991,2011,4.0,12,252,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,1,0.027,IT: Corruption,0.4309607247689679,
100,20,12,Shukralla E.K. (2016),4,0,0,0,1,1,1,0,1,1,0.12191000000000005,0.1327269230412579,,,55,5,264,0,0,1,0.0,0.0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1991,2011,4.0,12,252,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,1,0.027,IT: Law & ordero,0.9185024199054517,
101,20,12,Shukralla E.K. (2016),4,0,0,0,1,1,1,0,1,1,0.14324,0.2968631934073337,,,55,5,264,0,0,1,0.0,0.0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1991,2011,4.0,12,252,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,1,0.027,IT: bureaucracy,0.48251182086913913,
102,20,12,Shukralla E.K. (2016),4,0,0,0,1,1,1,0,1,1,0.0926,0.28501396457015926,,,55,5,264,0,0,1,0.0,0.0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1991,2011,4.0,12,252,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,1,0.027,IT: accountability,0.3248963612700651,
103,20,12,Shukralla E.K. (2016),4,0,0,0,1,1,1,0,1,1,0.2544,0.3573782943884533,,,55,5,264,0,0,1,0.0,0.0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1991,2011,4.0,18,246,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,1,0.027,4 IT,0.7118507307091215,
104,20,12,Shukralla E.K. (2016),4,0,0,0,1,1,1,0,1,1,0.06534999999999996,0.6301675206641485,,,55,5,264,0,0,1,0.0,0.0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1991,2011,4.0,12,252,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,1,0.027,IT: ICRG,0.10370258361003126,
105,20,12,Shukralla E.K. (2016),4,0,0,0,1,1,1,0,1,1,-0.15922999999999998,0.452495737106992,,,55,5,264,0,0,1,0.0,0.0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1991,2011,4.0,12,252,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,1,0.027,IT: Corruption,-0.35189281785952004,
106,20,12,Shukralla E.K. (2016),4,0,0,0,1,1,1,0,1,1,0.35549000000000003,0.37586046613071716,,,55,5,264,0,0,1,0.0,0.0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1991,2011,4.0,12,252,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,1,0.027,IT: Law & ordero,0.9458031158732383,
107,20,12,Shukralla E.K. (2016),4,0,0,0,1,1,1,0,1,1,-0.09461999999999998,0.5002143684461693,,,55,5,264,0,0,1,0.0,0.0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1991,2011,4.0,12,252,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,1,0.027,IT: bureaucracy,-0.1891589006007982,
108,20,12,Shukralla E.K. (2016),4,0,0,0,1,1,1,0,1,1,-0.10519999999999999,0.5563294347776325,,,55,5,264,0,0,1,0.0,0.0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1991,2011,4.0,12,252,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,1,0.027,IT: accountability,-0.18909659173803903,
109,20,12,Shukralla E.K. (2016),4,0,0,0,1,1,1,0,1,1,0.04137000000000007,0.7476432236033441,,,55,5,264,0,0,1,0.0,0.0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1991,2011,4.0,18,246,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2016,1,0.027,4 IT,0.055333879441337094,
110,21,4,Chowdhury M. (2016),1,1,0,0,0,0,0,0,1,0,0.036,0.016,,,33,32,742,1,0,0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1979,2011,1.0,8,734,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,12,0.009,,2.25,
111,21,4,Chowdhury M. (2016),1,1,0,0,0,0,0,0,1,0,0.033,0.016,,,33,32,724,1,0,0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1979,2011,1.0,8,716,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,12,0.009,,2.0625,
112,21,4,Chowdhury M. (2016),1,1,0,0,0,0,0,0,1,0,0.033,0.015,,,33,32,748,1,0,0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1979,2011,1.0,8,740,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,12,0.009,,2.2,
113,21,4,Chowdhury M. (2016),1,1,0,0,0,0,0,0,1,0,0.034,0.017,,,33,32,652,1,0,0,0.0,0.0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1979,2011,1.0,8,644,1,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,12,0.009,,2.0,
114,22,4,"Yuan N., Inoue T., Hamori S. (2016)",1,1,0,0,0,0,0,0,1,0,0.1851,0.0616,,,16,26,416,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1985,2011,1.0,4,412,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,0,0.0,,3.0048701298701297,
115,22,4,"Yuan N., Inoue T., Hamori S. (2016)",1,1,0,0,0,0,0,0,1,0,4.4846,2.693,,,16,26,416,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1985,2011,1.0,4,412,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,0,0.0,,1.6652803564797625,
116,22,4,"Yuan N., Inoue T., Hamori S. (2016)",1,1,0,0,0,0,0,0,1,0,,,0.1332,1.1335,16,26,416,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1985,2011,1.0,4,412,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,0,0.0,,,0.11751213056903398
117,22,4,"Yuan N., Inoue T., Hamori S. (2016)",1,1,0,0,0,0,0,0,1,0,,,-1.3015,1.2538,16,26,416,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1985,2011,1.0,4,412,1,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,0,0.0,,,-1.0380443451906205
118,23,15,"Kratou H., Gazdar K. (2016)",4,0,0,0,1,1,1,0,1,0,0.407,0.17319148936170212,,,12,27,234,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1984,2011,1.0,5,229,1,2016,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2016,3,0.01,,2.35,
119,23,15,"Kratou H., Gazdar K. (2016)",4,0,0,0,1,1,1,0,1,0,-3.084,3.0809190809190814,,,12,27,234,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1984,2011,1.0,5,229,1,2016,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2016,3,0.01,,-1.001,
120,23,15,"Kratou H., Gazdar K. (2016)",4,0,0,0,1,1,1,0,1,0,0.173,0.16429249762583095,,,12,27,234,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1984,2011,1.0,5,229,1,2016,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2016,3,0.01,,1.053,
121,23,15,"Kratou H., Gazdar K. (2016)",4,0,0,0,1,1,1,0,1,0,,,-0.929,0.470618034447822,12,27,234,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1984,2011,1.0,5,229,1,2016,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2016,3,0.01,,,-1.9739999999999986
122,23,15,"Kratou H., Gazdar K. (2016)",4,0,0,0,1,1,1,0,1,0,,,-0.142,0.6200873362445414,12,27,234,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1984,2011,1.0,5,229,1,2016,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2016,3,0.01,,,-0.229
123,23,15,"Kratou H., Gazdar K. (2016)",4,0,0,0,1,1,1,0,1,0,,,-0.725,0.21916565900846433,12,27,234,0,0,1,0.0,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1984,2011,1.0,5,229,1,2016,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2016,3,0.01,,,-3.308
124,23,15,"Kratou H., Gazdar K. (2016)",4,0,0,0,1,1,1,0,1,0,-0.39627919999999994,0.4424176862702835,,,12,27,155,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1984,2011,1.0,7,148,1,2016,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2016,3,0.01,IT: FD,-0.8957128349473433,
125,23,15,"Kratou H., Gazdar K. (2016)",4,0,0,0,1,1,1,0,1,0,-0.429408,0.5744572662311601,,,12,27,156,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1984,2011,1.0,7,149,1,2016,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2016,3,0.01,IT: LIAB,-0.747502077599637,
126,23,15,"Kratou H., Gazdar K. (2016)",4,0,0,0,1,1,1,0,1,0,-0.30053799999999997,0.35707549299330876,,,12,27,156,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1984,2011,1.0,7,149,1,2016,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2016,3,0.01,IT: DEPO,-0.841665154560556,
127,23,15,"Kratou H., Gazdar K. (2016)",4,0,0,0,1,1,1,0,1,0,-0.36189599999999994,0.32608426888477443,,,12,27,155,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1984,2011,1.0,7,148,1,2016,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2016,3,0.01,IT: PVCRE,-1.109823547261889,
128,23,15,"Kratou H., Gazdar K. (2016)",4,0,0,0,1,1,1,0,1,0,-0.49639999999999995,2.896521964870527,,,12,27,159,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1984,2011,1.0,7,152,1,2016,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2016,3,0.01,IT: ICRG,-0.1713779512188815,
129,23,15,"Kratou H., Gazdar K. (2016)",4,0,0,0,1,1,1,0,1,0,-0.8285,1.3157456765509172,,,12,27,159,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1984,2011,1.0,7,152,1,2016,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2016,3,0.01,IT: ICRG,-0.629680959447894,
130,23,15,"Kratou H., Gazdar K. (2016)",4,0,0,0,1,1,1,0,1,0,-0.16971000000000003,0.6794175768749889,,,12,27,159,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1984,2011,1.0,7,152,1,2016,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2016,3,0.01,IT: ICRG,-0.2497874735307683,
131,23,15,"Kratou H., Gazdar K. (2016)",4,0,0,0,1,1,1,0,1,0,-0.311771,1.2641971100908005,,,12,27,159,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1984,2011,1.0,7,152,1,2016,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2016,3,0.01,IT: ICRG,-0.24661581450507128,
132,23,15,"Kratou H., Gazdar K. (2016)",4,0,0,0,1,1,1,0,1,0,-0.3146399999999999,1.0396585302321197,,,12,27,159,0,0,1,0.0,0.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1984,2011,1.0,7,152,1,2016,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,2016,3,0.01,IT: ICRG,-0.30263782852794147,
133,24,2,"Dutta U.P., Gupta H., Sengupta P.P. (2016)",5,0,0,0,0,0,0,0,1,1,-0.0058,0.0132208798723501,,,1,37,37,0,0,1,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1975,2012,1.0,4,33,1,2016,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2016,0,0.0,,-0.4387000000000008,
134,24,2,"Dutta U.P., Gupta H., Sengupta P.P. (2016)",5,0,0,0,0,0,0,0,1,1,,,-0.0173,0.016018518518518515,1,37,37,0,0,1,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1975,2012,1.0,4,33,1,2016,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2016,0,0.0,,,-1.08
135,25,3,Azam M. (2016),2,0,1,0,0,1,0,0,0,0,0.026,0.009,,,20,27,540,0,0,1,0.0,0.0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1986,2012,1.0,1,539,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,3,0.0,,2.888888888888889,
136,25,3,Azam M. (2016),2,0,1,0,0,1,0,0,0,0,0.015,0.009,,,20,27,540,0,0,1,0.0,0.0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1986,2012,1.0,3,537,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,3,0.0,,1.6666666666666667,
137,25,3,Azam M. (2016),2,0,1,0,0,1,0,0,0,0,0.007,0.007,,,20,27,540,0,0,1,0.0,0.0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1986,2012,1.0,5,535,0,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,3,0.0,,1.0,
138,26,2,Jouini J. (2015),2,0,1,0,0,1,0,0,0,1,-0.324,0.2877442273534636,,,1,40,40,0,0,1,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1970,2010,1.0,3,37,1,2015,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,2014,28,0.085,,-1.126,
139,26,2,Jouini J. (2015),2,0,1,0,0,1,0,0,0,1,,,-0.061,0.033406352683461114,1,40,40,0,0,1,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1970,2010,1.0,3,37,1,2015,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,2014,28,0.085,,,-1.826
140,27,4,Azam M. (2015),2,0,1,0,0,1,0,0,1,0,0.219,0.028,,,1,36,36,1,0,0,1.0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1976,2012,1.0,4,32,0,2015,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2013,17,0.01,Bangladesh,7.821428571428571,
141,27,4,Azam M. (2015),2,0,1,0,0,1,0,0,1,0,0.473,0.093,,,1,36,36,1,0,0,1.0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1976,2012,1.0,4,32,0,2015,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2013,17,0.01,India,5.086021505376344,
142,27,4,Azam M. (2015),2,0,1,0,0,1,0,0,1,0,0.285,0.03,,,1,36,36,1,0,0,1.0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1976,2012,1.0,4,32,0,2015,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2013,17,0.01,Pakistan,9.5,
143,27,4,Azam M. (2015),2,0,1,0,0,1,0,0,1,0,0.299,0.05,,,1,36,36,1,0,0,1.0,0.0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1976,2012,1.0,4,32,0,2015,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2013,17,0.01,Sri Lanka,5.9799999999999995,
144,28,2,"Oshota S.O., Badejo A.A. (2015)",3,0,0,1,0,0,1,0,0,1,0.187,0.079,,,1,30,30,1,0,0,0.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1981,2011,1.0,5,25,1,2015,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2014,5,0.027,,2.367088607594937,
145,28,2,"Oshota S.O., Badejo A.A. (2015)",3,0,0,1,0,0,1,0,0,1,,,-0.0263,0.0119,1,30,30,1,0,0,0.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1981,2011,1.0,5,25,1,2015,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,2014,5,0.027,,,-2.210084033613445
