A,idstudy,label,study,idcoeff,sigma,se,t,viadelta,preferred,byproduct,crosssec,timeser,panel,nobs,midpoint,time_span,cross_units,annual,quart,firmdata,inddata,stadata,coudata,country,idcountry,country_US,country_Eur,country_Eur_noUK,country_UK,develop,ind_primary,ind_second,ind_tertiary,ind_disagg,ind_materials,ind_industrials,ind_consumer,ind_services,database_ASM_CM,database_OECD,database_jorgenson,e_sys_cesfoc,e_sys_2foc,e_cesnonlin,e_ceslinapprox,e_foc_k_r,e_foc_l_w,e_foc_kl_rw,e_foc_k_share,e_foc_l_share,e_foc_kl_share,e_focrev_k_r,e_focrev_l_w,e_focrev_kl_rw,e_focrev_k_share,e_focrev_l_share,e_focrev_kl_share,cerest,cerest2,norm,twolevel,partialsig,UCE,est_dynamic,est_nonlin,est_sur,identif,diff,timefe,unitfe,shortrun_expl,longrun_expl,longrun_unadj,pfoth,pfhum,pflatc,pfcatc,pftfp,pfskill,VES,tcconst,tcother,nocrs,nofullcomp,capacadj,w_nominal,w_direct,l_hours,l_years,l_numwork,l_numwork_fte,l_force,r_ucc,r_ucctax,r_quasi,r_other,r_nom,r_gross,k_it,k_equip,k_struct,k_resincl,k_services,k_perpet,k_index,y_index,y_other,qualadjust,selfempl,grosssigma,top,pubyear,impact,citations
392,124,Solow1964,Solow (1964),10,1.4536,0.71221,,0,0.0,0.5,1,0,0,9.0,1956.0,1,9,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1964,0.0,1.9636363636363636
393,124,Solow1964,Solow (1964),11,1.4773,0.8769,,0,0.0,0.5,1,0,0,9.0,1956.0,1,9,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1964,0.0,1.9636363636363636
394,124,Solow1964,Solow (1964),12,0.8911,0.2657,,0,0.0,0.5,1,0,0,9.0,1956.0,1,9,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1964,0.0,1.9636363636363636
395,124,Solow1964,Solow (1964),13,0.32,0.4592,,0,0.0,0.5,1,0,0,9.0,1956.0,1,9,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1964,0.0,1.9636363636363636
396,124,Solow1964,Solow (1964),14,1.8697,1.2475,,0,0.0,0.5,1,0,0,9.0,1956.0,1,9,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1964,0.0,1.9636363636363636
397,124,Solow1964,Solow (1964),15,0.8009,0.295,,0,0.0,0.5,1,0,0,8.0,1956.0,1,8,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1964,0.0,1.9636363636363636
398,124,Solow1964,Solow (1964),16,0.6348,0.4492,,0,0.0,0.5,1,0,0,9.0,1956.0,1,9,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1964,0.0,1.9636363636363636
399,124,Solow1964,Solow (1964),17,0.3735,0.5371,,0,0.0,0.5,1,0,0,9.0,1956.0,1,9,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1964,0.0,1.9636363636363636
400,124,Solow1964,Solow (1964),18,0.0586,0.8217,,0,0.0,0.5,1,0,0,9.0,1956.0,1,9,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1964,0.0,1.9636363636363636
401,124,Solow1964,Solow (1964),19,1.5945,0.1452,,0,0.0,0.5,1,0,0,8.0,1956.0,1,8,1,0,0,0,1,0,US,97,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1964,0.0,1.9636363636363636
402,123,Smith2008,Smith (2008),1,0.38,0.04,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
403,123,Smith2008,Smith (2008),2,0.39,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
404,123,Smith2008,Smith (2008),3,0.38,0.03,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
405,123,Smith2008,Smith (2008),4,0.38,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
406,123,Smith2008,Smith (2008),5,0.36,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
407,123,Smith2008,Smith (2008),6,0.34,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
408,123,Smith2008,Smith (2008),7,0.33,0.01,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
409,123,Smith2008,Smith (2008),8,0.34,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
410,123,Smith2008,Smith (2008),9,0.36,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
411,123,Smith2008,Smith (2008),10,0.39,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
412,123,Smith2008,Smith (2008),11,0.37,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
413,123,Smith2008,Smith (2008),12,0.37,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
414,123,Smith2008,Smith (2008),13,0.35,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
415,123,Smith2008,Smith (2008),14,0.33,0.01,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
416,123,Smith2008,Smith (2008),15,0.3,0.01,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
417,123,Smith2008,Smith (2008),16,0.29,0.01,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
418,123,Smith2008,Smith (2008),17,0.27,0.01,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
419,123,Smith2008,Smith (2008),18,0.29,0.03,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
420,123,Smith2008,Smith (2008),19,0.25,0.03,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
421,123,Smith2008,Smith (2008),20,0.21,0.04,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
422,123,Smith2008,Smith (2008),21,0.15,0.001,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
423,123,Smith2008,Smith (2008),22,0.1,0.05,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
424,123,Smith2008,Smith (2008),23,0.07,0.05,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
425,123,Smith2008,Smith (2008),24,0.03,0.05,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
426,123,Smith2008,Smith (2008),25,0.05,0.06,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
427,123,Smith2008,Smith (2008),26,0.42,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
428,123,Smith2008,Smith (2008),27,0.42,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
429,123,Smith2008,Smith (2008),28,0.42,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
430,123,Smith2008,Smith (2008),29,0.41,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
431,123,Smith2008,Smith (2008),30,0.38,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
432,123,Smith2008,Smith (2008),31,0.36,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
433,123,Smith2008,Smith (2008),32,0.35,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
434,123,Smith2008,Smith (2008),33,0.38,0.03,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
435,123,Smith2008,Smith (2008),34,1.23,0.01,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
436,123,Smith2008,Smith (2008),35,1.24,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
437,123,Smith2008,Smith (2008),36,1.26,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
438,123,Smith2008,Smith (2008),37,1.29,0.02,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
439,123,Smith2008,Smith (2008),38,1.33,0.03,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
440,123,Smith2008,Smith (2008),39,1.34,0.03,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
441,123,Smith2008,Smith (2008),40,1.38,0.04,,0,0.0,0.0,0,1,0,142.0,1987.5,36,1,0,1,0,0,0,1,UK,96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0.0,0,1,0,2008,0.164,1.3636363636363635
